Deal Name,Date,Investor,Measure,Amount
ALPHA,2018-05-15,Sapir LLC,Estimated NAV,769133.161324
ALPHA,2018-05-15,Gibraltar Investments,Capital Call,175727.0
ALPHA,2018-05-15,Third Gen Partners,Capital Call,17991.0
ALPHA,2018-09-05,Gates Capital,Estimated NAV,1626062.562072
ALPHA,2018-09-05,Jobs Capital,Estimated NAV,2137460.768976
ALPHA,2018-09-05,Gibraltar Investments,Capital Call,50921.0
ALPHA,2018-09-05,Sapir LLC,Estimated NAV,848247.325224
ALPHA,2018-09-05,Gates capital,Capital Call,17411.0
ALPHA,2018-09-05,Gibraltar Investments,Estimated NAV,4755697.097736
ALPHA,2018-09-05,Third Gen Partners,Capital Call,5213.0
ALPHA,2018-09-05,Gates Invest,Estimated NAV,2765225.034936
ALPHA,2018-09-05,MSD,Capital Call,5836.0
ALPHA,2018-09-05,MSD,Estimated NAV,545083.118736
ALPHA,2018-09-05,Overwatch LLC,Estimated NAV,6299078.512584
ALPHA,2018-09-05,Oak Family,Estimated NAV,2835657.123312
ALPHA,2018-09-05,Stowy Family,Capital Call,58954.0
ALPHA,2018-09-05,Overwatch LLC,Capital Call,67447.0
ALPHA,2018-09-05,Third Gen Partners,Estimated NAV,486900.089208
ALPHA,2018-09-05,Stowy Family,Estimated NAV,5505951.952176
ALPHA,2018-09-05,Sapir LLC,Capital Call,9083.0
ALPHA,2018-09-05,Gates Invest,Capital Call,29608.0
ALPHA,2018-09-05,Bill and Melinda Foundation,Estimated NAV,2817283.53504
ALPHA,2018-09-05,Oak Family,Capital Call,30363.0
ALPHA,2018-09-05,Bill and Melinda Foundation,Capital Call,30166.0
ALPHA,2018-09-05,Jobs Capital,Capital Call,22887.0
ALPHA,2018-11-20,MSD,Estimated NAV,545083.118736
ALPHA,2018-11-20,Overwatch LLC,Capital Call,520054.0
ALPHA,2018-11-20,Oak Family,Estimated NAV,2835657.123312
ALPHA,2018-11-20,Oak Family,Capital Call,234113.0
ALPHA,2018-11-20,Third Gen Partners,Estimated NAV,486900.089208
ALPHA,2018-11-20,Sapir LLC,Capital Call,70032.0
ALPHA,2018-11-20,Stowy Family,Capital Call,454574.0
ALPHA,2018-11-20,Gates Invest,Estimated NAV,2765225.034936
ALPHA,2018-11-20,Bill and Melinda Foundation,Estimated NAV,2817283.53504
ALPHA,2018-11-20,Gibraltar Investments,Estimated NAV,4755697.097736
ALPHA,2018-11-20,Third Gen Partners,Capital Call,40199.0
ALPHA,2018-11-20,Stowy Family,Estimated NAV,5505951.952176
ALPHA,2018-11-20,Overwatch LLC,Estimated NAV,6299078.512584
ALPHA,2018-11-20,Gates Invest,Capital Call,228298.0
ALPHA,2018-11-20,Jobs Capital,Estimated NAV,2137460.768976
ALPHA,2018-11-20,Jobs Capital,Capital Call,176470.0
ALPHA,2018-11-20,MSD,Capital Call,45002.0
ALPHA,2018-11-20,Gibraltar Investments,Capital Call,392632.0
ALPHA,2018-11-20,Bill and Melinda Foundation,Capital Call,232596.0
ALPHA,2018-11-20,Gates Capital,Estimated NAV,1626062.562072
ALPHA,2018-11-20,Sapir LLC,Estimated NAV,848247.325224
ALPHA,2018-11-20,Gates Capital,Capital Call,134248.0
ALPHA,2019-01-27,MSD,Estimated NAV,528085.0
ALPHA,2019-01-27,Third Gen Partners,Estimated NAV,471717.0
ALPHA,2019-01-27,Jobs Capital,Estimated NAV,2070807.0
ALPHA,2019-01-27,Overwatch LLC,Estimated NAV,6622703.6238
ALPHA,2019-01-27,Bill and Melinda Foundation,Estimated NAV,2729430.0
ALPHA,2019-01-27,Oak Family,Estimated NAV,2747231.0
ALPHA,2019-01-27,Overwatch LLC,Estimated NAV,6102648.0
ALPHA,2019-01-27,Stowy Family,Estimated NAV,5788828.9332
ALPHA,2019-01-27,Bill and Melinda Foundation,Estimated NAV,2962025.928
ALPHA,2019-01-27,Gates Capital,Estimated NAV,1575356.0
ALPHA,2019-01-27,Sapir LLC,Estimated NAV,821796.0
ALPHA,2019-01-27,Stowy Family,Estimated NAV,5334255.0
ALPHA,2019-01-27,Oak Family,Estimated NAV,2981343.4884
ALPHA,2019-01-27,Gates Invest,Estimated NAV,2907292.8402
ALPHA,2019-01-27,Sapir LLC,Estimated NAV,891827.3718
ALPHA,2019-01-27,Third Gen Partners,Estimated NAV,511915.3506
ALPHA,2019-01-27,Gibraltar Investments,Estimated NAV,4607396.0
ALPHA,2019-01-27,Gates Invest,Estimated NAV,2678995.0
ALPHA,2019-01-27,Gates Capital,Estimated NAV,1709604.0954
ALPHA,2019-01-27,Jobs Capital,Estimated NAV,2247276.1932
ALPHA,2019-01-27,Gibraltar Investments,Estimated NAV,5000028.5502
ALPHA,2019-01-27,MSD,Estimated NAV,573087.6252
ALPHA,2019-02-07,Jobs Capital,Capital Call,524243.0
ALPHA,2019-02-07,Jobs Capital,Estimated NAV,2771518.935
ALPHA,2019-02-07,Sapir LLC,Capital Call,208045.0
ALPHA,2019-02-07,Gates Invest,Estimated NAV,3585503.7225
ALPHA,2019-02-07,Gates Capital,Estimated NAV,2108419.1325
ALPHA,2019-02-07,Oak Family,Estimated NAV,3676828.845
ALPHA,2019-02-07,Gates Capital,Capital Call,398815.0
ALPHA,2019-02-07,Overwatch LLC,Estimated NAV,8167642.4775
ALPHA,2019-02-07,Gibraltar Investments,Estimated NAV,6166431.0975
ALPHA,2019-02-07,Third Gen Partners,Capital Call,119419.0
ALPHA,2019-02-07,Stowy Family,Estimated NAV,7139242.185
ALPHA,2019-02-07,Bill and Melinda Foundation,Capital Call,690979.0
ALPHA,2019-02-07,Oak Family,Capital Call,695485.0
ALPHA,2019-02-07,MSD,Capital Call,133689.0
ALPHA,2019-02-07,Bill and Melinda Foundation,Estimated NAV,3653004.9
ALPHA,2019-02-07,MSD,Estimated NAV,706777.035
ALPHA,2019-02-07,Overwatch LLC,Capital Call,1544939.0
ALPHA,2019-02-07,Stowy Family,Capital Call,1350413.0
ALPHA,2019-02-07,Sapir LLC,Estimated NAV,1099872.1275
ALPHA,2019-02-07,Third Gen Partners,Estimated NAV,631334.5425
ALPHA,2019-02-07,Gibraltar Investments,Capital Call,1166403.0
ALPHA,2019-02-07,Gates Invest,Capital Call,678211.0
ALPHA,2019-04-26,MSD,Estimated NAV,745007.5368
ALPHA,2019-04-26,Sapir LLC,Estimated NAV,1159365.6612
ALPHA,2019-04-26,Gates capital,Estimated NAV,2222466.3036
ALPHA,2019-04-26,Third Gen Partners,Estimated NAV,665484.2604
ALPHA,2019-04-26,Bill and Melinda Foundation,Estimated NAV,3850600.752
ALPHA,2019-04-26,Jobs Capital,Estimated NAV,2921434.0488
ALPHA,2019-04-26,Overwatch LLC,Capital Call,441797.0
ALPHA,2019-04-26,Gibraltar Investments,Capital Call,333550.0
ALPHA,2019-04-26,Gates Invest,Capital Call,193945.0
ALPHA,2019-04-26,Overwatch LLC,Estimated NAV,8609441.0292
ALPHA,2019-04-26,Gibraltar Investments,Estimated NAV,6499981.4868
ALPHA,2019-04-26,Gates Capital,Capital Call,114047.0
ALPHA,2019-04-26,Stowy Family,Capital Call,386171.0
ALPHA,2019-04-26,Sapir LLC,Capital Call,59494.0
ALPHA,2019-04-26,Oak Family,Estimated NAV,3875713.3656
ALPHA,2019-04-26,Stowy Family,Estimated NAV,7525413.2088
ALPHA,2019-04-26,Oak Family,Capital Call,198885.0
ALPHA,2019-04-26,Gates Invest,Estimated NAV,3779448.3468
ALPHA,2019-04-26,MSD,Capital Call,38231.0
ALPHA,2019-04-26,Third Gen Partners,Capital Call,34150.0
ALPHA,2019-04-26,Bill and Melinda Foundation,Capital Call,197596.0
ALPHA,2019-04-26,Jobs Capital,Capital Call,149915.0
ALPHA,2019-05-05,Sapir LLC,Estimated NAV,904366.0
ALPHA,2019-05-05,Gates Capital,Estimated NAV,2246501.8062
ALPHA,2019-05-05,Bill and Melinda Foundation,Estimated NAV,3892244.184
ALPHA,2019-05-05,Third Gen Partners,Estimated NAV,672681.3318
ALPHA,2019-05-05,Gates Invest,Estimated NAV,2948167.0
ALPHA,2019-05-05,Jobs Capital,Estimated NAV,2278871.0
ALPHA,2019-05-05,Gibraltar Investments,Estimated NAV,6570277.4106
ALPHA,2019-05-05,MSD,Estimated NAV,581145.0
ALPHA,2019-05-05,Oak Family,Estimated NAV,3917628.3852
ALPHA,2019-05-05,Gates Invest,Estimated NAV,3820322.2806
ALPHA,2019-05-05,Stowy Family,Estimated NAV,5870215.0
ALPHA,2019-05-05,Third Gen Partners,Estimated NAV,519112.0
ALPHA,2019-05-05,Jobs Capital,Estimated NAV,2953028.7396
ALPHA,2019-05-05,MSD,Estimated NAV,753064.6356
ALPHA,2019-05-05,Overwatch LLC,Estimated NAV,6715812.0
ALPHA,2019-05-05,Overwatch LLC,Estimated NAV,8702550.3114
ALPHA,2019-05-05,Gates Capital,Estimated NAV,1733640.0
ALPHA,2019-05-05,Sapir LLC,Estimated NAV,1171903.9554
ALPHA,2019-05-05,Stowy Family,Estimated NAV,7606798.9596
ALPHA,2019-05-05,Oak Family,Estimated NAV,3023259.0
ALPHA,2019-05-05,Gibraltar Investments,Estimated NAV,5070324.0
ALPHA,2019-05-05,Bill and Melinda Foundation,Estimated NAV,3003669.0
ALPHA,2019-08-18,Oak Family,Estimated NAV,3969545.779
ALPHA,2019-08-18,Stowy Family,Estimated NAV,7707606.167
ALPHA,2019-08-18,Sapir LLC,Estimated NAV,1127941.0
ALPHA,2019-08-18,Gibraltar Investments,Estimated NAV,6323798.0
ALPHA,2019-08-18,Bill and Melinda Foundation,Estimated NAV,3746229.0
ALPHA,2019-08-18,Gibraltar Investments,Estimated NAV,6657348.3745
ALPHA,2019-08-18,MSD,Estimated NAV,724814.0
ALPHA,2019-08-18,Gates Invest,Estimated NAV,3677006.0
ALPHA,2019-08-18,Bill and Melinda Foundation,Estimated NAV,3943825.18
ALPHA,2019-08-18,Jobs Capital,Estimated NAV,2992163.017
ALPHA,2019-08-18,Oak Family,Estimated NAV,3770661.0
ALPHA,2019-08-18,Gates Capital,Estimated NAV,2276273.0115
ALPHA,2019-08-18,Gates Capital,Estimated NAV,2162226.0
ALPHA,2019-08-18,Gates Invest,Estimated NAV,3870950.1495
ALPHA,2019-08-18,Jobs Capital,Estimated NAV,2842248.0
ALPHA,2019-08-18,Third Gen Partners,Estimated NAV,647446.0
ALPHA,2019-08-18,Sapir LLC,Estimated NAV,1187434.3205
ALPHA,2019-08-18,Third Gen Partners,Estimated NAV,681595.8735
ALPHA,2019-08-18,Overwatch LLC,Estimated NAV,8376080.0
ALPHA,2019-08-18,Overwatch LLC,Estimated NAV,8817878.6905
ALPHA,2019-08-18,MSD,Estimated NAV,763044.437
ALPHA,2019-08-18,Stowy Family,Estimated NAV,7321435.0
ALPHA,2019-08-27,Jobs Capital,Estimated NAV,3277467.6552
ALPHA,2019-08-27,Gates Capital,Capital Call,217044.0
ALPHA,2019-08-27,Oak Family,Estimated NAV,4348044.4824
ALPHA,2019-08-27,Gates Capital,Estimated NAV,2493317.0844
ALPHA,2019-08-27,Sapir LLC,Capital Call,113223.0
ALPHA,2019-08-27,Overwatch LLC,Estimated NAV,9658669.0068
ALPHA,2019-08-27,Overwatch LLC,Capital Call,840789.0
ALPHA,2019-08-27,Oak Family,Capital Call,378499.0
ALPHA,2019-08-27,Gates Invest,Estimated NAV,4240047.6972
ALPHA,2019-08-27,Gibraltar Investments,Capital Call,634782.0
ALPHA,2019-08-27,Bill and Melinda Foundation,Capital Call,376046.0
ALPHA,2019-08-27,MSD,Estimated NAV,835801.2072
ALPHA,2019-08-27,Gibraltar Investments,Estimated NAV,7292130.7572
ALPHA,2019-08-27,Jobs Capital,Capital Call,285305.0
ALPHA,2019-08-27,Third Gen Partners,Capital Call,64991.0
ALPHA,2019-08-27,Gates Invest,Capital Call,369098.0
ALPHA,2019-08-27,Bill and Melinda Foundation,Estimated NAV,4319871.408
ALPHA,2019-08-27,Third Gen Partners,Estimated NAV,746586.4716
ALPHA,2019-08-27,Stowy Family,Capital Call,734925.0
ALPHA,2019-08-27,Stowy Family,Estimated NAV,8442531.2952
ALPHA,2019-08-27,MSD,Capital Call,72757.0
ALPHA,2019-08-27,Sapir LLC,Estimated NAV,1300656.9348
ALPHA,2019-09-05,Bill and Melinda Foundation,Estimated NAV,2584687.47904
ALPHA,2019-09-05,Bill and Melinda Foundation,Management Fees,32622.0
ALPHA,2019-09-05,Jobs Capital,Estimated NAV,1960991.152576
ALPHA,2019-09-05,Gates Invest,Estimated NAV,2536926.949536
ALPHA,2019-09-05,Gates Invest,Management Fees,32019.0
ALPHA,2019-09-05,Gates capital,Management Fees,18828.0
ALPHA,2019-09-05,Overwatch LLC,Management Fees,72938.0
ALPHA,2019-09-05,MSD,Estimated NAV,500080.838336
ALPHA,2019-09-05,Sapir LLC,Management Fees,9822.0
ALPHA,2019-09-05,Gibraltar Investments,Estimated NAV,4363064.842336
ALPHA,2019-09-05,Gates capital,Estimated NAV,1491814.186272
ALPHA,2019-09-05,Sapir LLC,Estimated NAV,778215.686624
ALPHA,2019-09-05,Gibraltar Investments,Management Fees,55067.0
ALPHA,2019-09-05,Jobs Capital,Management Fees,24750.0
ALPHA,2019-09-05,Third Gen Partners,Estimated NAV,446701.423008
ALPHA,2019-09-05,Oak Family,Estimated NAV,2601544.136512
ALPHA,2019-09-05,Third Gen Partners,Management Fees,5638.0
ALPHA,2019-09-05,Oak Family,Management Fees,32834.0
ALPHA,2019-09-05,Stowy Family,Management Fees,63754.0
ALPHA,2019-09-05,Stowy Family,Estimated NAV,5051378.355776
ALPHA,2019-09-05,MSD,Management Fees,6312.0
ALPHA,2019-09-05,Overwatch LLC,Estimated NAV,5779024.069984
ALPHA,2019-10-11,Stowy Family,Estimated NAV,10280085.44326
ALPHA,2019-10-11,Overwatch LLC,Estimated NAV,11760920.88809
ALPHA,2019-10-11,Gates Invest,Estimated NAV,5162912.76711
ALPHA,2019-10-11,Gates Capital,Capital Call,542681.0
ALPHA,2019-10-11,Overwatch LLC,Capital Call,2102253.0
ALPHA,2019-10-11,Jobs Capital,Estimated NAV,3990822.93626
ALPHA,2019-10-11,Jobs Capital,Capital Call,713355.0
ALPHA,2019-10-11,Bill and Melinda Foundation,Capital Call,940239.0
ALPHA,2019-10-11,Third Gen Partners,Estimated NAV,909084.30783
ALPHA,2019-10-11,Sapir LLC,Estimated NAV,1583750.64949
ALPHA,2019-10-11,Stowy Family,Capital Call,1837554.0
ALPHA,2019-10-11,Gates Capital,Estimated NAV,3035998.53747
ALPHA,2019-10-11,Gates Invest,Capital Call,922865.0
ALPHA,2019-10-11,Sapir LLC,Capital Call,283094.0
ALPHA,2019-10-11,Bill and Melinda Foundation,Estimated NAV,5260110.4604
ALPHA,2019-10-11,Oak Family,Capital Call,946371.0
ALPHA,2019-10-11,MSD,Estimated NAV,1017717.02386
ALPHA,2019-10-11,Gibraltar Investments,Capital Call,1587164.0
ALPHA,2019-10-11,Gibraltar Investments,Estimated NAV,8879295.15761
ALPHA,2019-10-11,MSD,Capital Call,181916.0
ALPHA,2019-10-11,Oak Family,Estimated NAV,5294415.52862
ALPHA,2019-10-11,Third Gen Partners,Capital Call,162498.0
ALPHA,2019-10-22,Stowy Family,Estimated NAV,10458107.76066
ALPHA,2019-10-22,Bill and Melinda Foundation,Estimated NAV,5351200.8564
ALPHA,2019-10-22,Third Gen Partners,Estimated NAV,697339.0
ALPHA,2019-10-22,Gates capital,Estimated NAV,2328848.0
ALPHA,2019-10-22,MSD,Estimated NAV,780668.0
ALPHA,2019-10-22,Oak Family,Estimated NAV,4061230.0
ALPHA,2019-10-22,Sapir LLC,Estimated NAV,1611176.77959
ALPHA,2019-10-22,MSD,Estimated NAV,1035341.03526
ALPHA,2019-10-22,Gates Invest,Estimated NAV,3960357.0
ALPHA,2019-10-22,Overwatch LLC,Estimated NAV,9021546.0
ALPHA,2019-10-22,Oak Family,Estimated NAV,5386099.99242
ALPHA,2019-10-22,Bill and Melinda Foundation,Estimated NAV,4034916.0
ALPHA,2019-10-22,Gibraltar Investments,Estimated NAV,9033059.70651
ALPHA,2019-10-22,Gibraltar Investments,Estimated NAV,6811113.0
ALPHA,2019-10-22,Gates Invest,Estimated NAV,5252319.97101
ALPHA,2019-10-22,Overwatch LLC,Estimated NAV,11964587.13219
ALPHA,2019-10-22,Jobs Capital,Estimated NAV,4059932.82366
ALPHA,2019-10-22,Stowy Family,Estimated NAV,7885628.0
ALPHA,2019-10-22,Gates Capital,Estimated NAV,3088573.53777
ALPHA,2019-10-22,Third Gen Partners,Estimated NAV,924827.10453
ALPHA,2019-10-22,Jobs Capital,Estimated NAV,3061273.0
ALPHA,2019-10-22,Sapir LLC,Estimated NAV,1214860.0
ALPHA,2019-11-26,Gibraltar Investments,Capital Call,172577.0
ALPHA,2019-11-26,Sapir LLC,Capital Call,30782.0
ALPHA,2019-11-26,Jobs Capital,Estimated NAV,4137498.224428
ALPHA,2019-11-26,Overwatch LLC,Capital Call,228586.0
ALPHA,2019-11-26,Jobs Capital,Capital Call,77565.0
ALPHA,2019-11-26,Oak Family,Capital Call,102902.0
ALPHA,2019-11-26,MSD,Capital Call,19780.0
ALPHA,2019-11-26,Bill and Melinda Foundation,Capital Call,102235.0
ALPHA,2019-11-26,Gates Capital,Estimated NAV,3147581.027466
ALPHA,2019-11-26,Stowy Family,Capital Call,199803.0
ALPHA,2019-11-26,Gates Capital,Capital Call,59007.0
ALPHA,2019-11-26,MSD,Estimated NAV,1055121.323708
ALPHA,2019-11-26,Overwatch LLC,Estimated NAV,12193171.701502
ALPHA,2019-11-26,Gibraltar Investments,Estimated  NAV,9205637.166958
ALPHA,2019-11-26,Gates Invest,Estimated NAV,5352666.041058
ALPHA,2019-11-26,Sapir LLC,Estimated NAV,1641958.464422
ALPHA,2019-11-26,Third Gen Partners,Estimated NAV,942496.013874
ALPHA,2019-11-26,Oak Family,Estimated NAV,5489001.942436
ALPHA,2019-11-26,Gates Invest,Capital Call,100346.0
ALPHA,2019-11-26,Third Gen Partners,Capital Call,17669.0
ALPHA,2019-11-26,Bill and Melinda Foundation,Estimated NAV,5453436.05512
ALPHA,2019-11-26,Stowy Family,Estimated NAV,10657910.899028
ALPHA,2020-01-26,Gibraltar Investments,Estimated NAV,9201589.359426
ALPHA,2020-01-26,Sapir LLC,Estimated NAV,1641236.479434
ALPHA,2020-01-26,Third Gen Partners,Estimated NAV,942081.589278
ALPHA,2020-01-26,Gates Capital,Estimated NAV,2544508.0
ALPHA,2020-01-26,Bill and Melinda Foundation,Estimated NAV,5451038.12664
ALPHA,2020-01-26,Oak Family,Estimated NAV,4437315.0
ALPHA,2020-01-26,Jobs Capital,Estimated NAV,4135678.926516
ALPHA,2020-01-26,Overwatch LLC,Estimated NAV,9856976.0
ALPHA,2020-01-26,Gates Invest,Estimated NAV,5350312.422126
ALPHA,2020-01-26,Stowy Family,Estimated NAV,10653224.512716
ALPHA,2020-01-26,Jobs Capital,Estimated NAV,3344758.0
ALPHA,2020-01-26,MSD,Estimated NAV,852961.0
ALPHA,2020-01-26,Overwatch LLC,Estimated NAV,12187810.246194
ALPHA,2020-01-26,MSD,Estimated NAV,1054657.376676
ALPHA,2020-01-26,Sapir LLC,Estimated NAV,1327361.0
ALPHA,2020-01-26,Oak Family,Estimated NAV,5486588.375292
ALPHA,2020-01-26,Gibraltar Investments,Estimated NAV,7441847.0
ALPHA,2020-01-26,Third Gen Partners,Estimated NAV,761915.0
ALPHA,2020-01-26,Stowy Family,Estimated NAV,8615867.0
ALPHA,2020-01-26,Gates Invest,Estimated NAV,4327101.0
ALPHA,2020-01-26,Gates Capital,Estimated NAV,3146197.005702
ALPHA,2020-01-26,Bill and Melinda Foundation,Estimated NAV,4408564.0
ALPHA,2020-02-24,MSD,Estimated NAV,1059152.161832
ALPHA,2020-02-24,Gates Capital,Estimated NAV,3159605.606364
ALPHA,2020-02-24,Sapir LLC,Estimated NAV,1648231.173188
ALPHA,2020-02-24,Stowy Family,Estimated NAV,10698626.893112
ALPHA,2020-02-24,Overwatch LLC,Capital Call,51942.0
ALPHA,2020-02-24,Oak Family,Estimated NAV,5509971.358744
ALPHA,2020-02-24,Bill and Melinda Foundation,Estimated NAV,5474269.60048
ALPHA,2020-02-24,Jobs Capital,Estimated NAV,4153304.544712
ALPHA,2020-02-24,Bill and Melinda Foundation,Capital Call,23231.0
ALPHA,2020-02-24,Sapir LLC,Capital Call,6995.0
ALPHA,2020-02-24,Overwatch LLC,Estimated NAV,12239752.791508
ALPHA,2020-02-24,Jobs Capital,Capital Call,17626.0
ALPHA,2020-02-24,MSD,Capital Call,4495.0
ALPHA,2020-02-24,Gibraltar Investments,Estimated NAV,9240805.097332
ALPHA,2020-02-24,Gates Capital,Capital Call,13409.0
ALPHA,2020-02-24,Gibraltar Investments,Capital Call,39216.0
ALPHA,2020-02-24,Third Gen Partners,Capital Call,4015.0
ALPHA,2020-02-24,Stowy Family,Capital Call,45402.0
ALPHA,2020-02-24,Gates Invest,Capital Call,22802.0
ALPHA,2020-02-24,Third Gen Partners,Estimated NAV,946096.593996
ALPHA,2020-02-24,Oak Family,Capital Call,23383.0
ALPHA,2020-02-24,Gates Invest,Estimated NAV,5373114.618732
ALPHA,2020-03-26,Jobs Capital,Capital Call,28610.0
ALPHA,2020-03-26,Third Gen Partners,Capital Call,6517.0
ALPHA,2020-03-26,Stowy Family,Estimated NAV,10772323.773804
ALPHA,2020-03-26,MSD,Estimated NAV,1066448.071044
ALPHA,2020-03-26,Stowy Family,Capital Call,73697.0
ALPHA,2020-03-26,Oak Family,Capital Call,37955.0
ALPHA,2020-03-26,MSD,Capital Call,7296.0
ALPHA,2020-03-26,Gates Invest,Estimated NAV,5410127.012094
ALPHA,2020-03-26,Bill and Melinda Foundation,Estimated NAV,5511978.79416
ALPHA,2020-03-26,Overwatch LLC,Estimated NAV,12324065.629986
ALPHA,2020-03-26,Gibraltar Investments,Capital Call,63655.0
ALPHA,2020-03-26,Gibraltar Investments,Estimated NAV,9304459.855794
ALPHA,2020-03-26,Jobs Capital,Estimated NAV,4181914.346004
ALPHA,2020-03-26,Gates Invest,Capital Call,37012.0
ALPHA,2020-03-26,Bill and Melinda Foundation,Capital Call,37709.0
ALPHA,2020-03-26,Third Gen Partners,Estimated NAV,952613.726382
ALPHA,2020-03-26,Gates Capital,Capital Call,21765.0
ALPHA,2020-03-26,Sapir LLC,Estimated NAV,1659584.919546
ALPHA,2020-03-26,Sapir LLC,Capital Call,11354.0
ALPHA,2020-03-26,Overwatch LLC,Capital Call,84313.0
ALPHA,2020-03-26,Gates capital,Estimated NAV,3181370.369238
ALPHA,2020-03-26,Oak Family,Estimated NAV,5547926.481948
ALPHA,2020-04-10,Gates Capital,Capital Call,68424.0
ALPHA,2020-04-10,Gates Invest,Estimated NAV,5526485.786094
ALPHA,2020-04-10,Bill and Melinda Foundation,Estimated NAV,5630528.15416
ALPHA,2020-04-10,Sapir LLC,Capital Call,35694.0
ALPHA,2020-04-10,Third Gen Partners,Estimated NAV,973102.148382
ALPHA,2020-04-10,MSD,Capital Call,22937.0
ALPHA,2020-04-10,Gibraltar Investments,Capital Call,200116.0
ALPHA,2020-04-10,Stowy Family,Capital Call,231687.0
ALPHA,2020-04-10,Gibraltar Investments,Estimated NAV,9504576.329794
ALPHA,2020-04-10,Overwatch LLC,Capital Call,265060.0
ALPHA,2020-04-10,Gates Invest,Capital Call,116359.0
ALPHA,2020-04-10,Third Gen Partners,Capital Call,20488.0
